,SYMBOL,NAME OF COMPANY
1246,PANAMAPET,Panama Petrochem Limited
1247,PANSARI,Pansari Developers Limited
1248,PAR,Par Drugs And Chemicals Limited
1249,PARACABLES,Paramount Communications Limited
1250,PARADEEP,Paradeep Phosphates Limited
1251,PARAGMILK,Parag Milk Foods Limited
1252,PARAS,Paras Defence and Space Technologies Limited
1253,PARASPETRO,Paras Petrofils Limited
1254,PARSVNATH,Parsvnath Developers Limited
1255,PASUPTAC,Pasupati Acrylon Limited
1256,PATANJALI,Patanjali Foods Limited
1257,PATELENG,Patel Engineering Limited
1258,PATINTLOG,Patel Integrated Logistics Limited
1259,PAYTM,One 97 Communications Limited
1260,PCBL,PCBL LIMITED
1261,PCJEWELLER,PC Jeweller Limited
1262,PDMJEPAPER,Pudumjee Paper Products Limited
1263,PDPL,Parenteral Drugs (India) Limited
1264,PDSL,PDS Limited
1265,PEARLPOLY,Pearl Polymers Limited
1266,PEL,Piramal Enterprises Limited
1267,PENIND,Pennar Industries Limited
1268,PENINLAND,Peninsula Land Limited
1269,PERSISTENT,Persistent Systems Limited
1270,PETRONET,Petronet LNG Limited
1271,PFC,Power Finance Corporation Limited
1272,PFIZER,Pfizer Limited
1273,PFOCUS,Prime Focus Limited
1274,PFS,PTC India Financial Services Limited
1275,PGEL,PG Electroplast Limited
1276,PGHH,Procter & Gamble Hygiene and Health Care Limited
1277,PGHL,Procter & Gamble Health Limited
1278,PGIL,Pearl Global Industries Limited
1279,PHOENIXLTD,The Phoenix Mills Limited
1280,PIDILITIND,Pidilite Industries Limited
1281,PIIND,PI Industries Limited
1282,PILANIINVS,Pilani Investment and Industries Corporation Limited
1283,PILITA,PIL ITALICA LIFESTYLE LIMITED
1284,PIONEEREMB,Pioneer Embroideries Limited
1285,PITTIENG,Pitti Engineering Limited
1286,PIXTRANS,Pix Transmissions Limited
1287,PKTEA,The Peria Karamalai Tea & Produce Company Limited
1288,PLASTIBLEN,Plastiblends India Limited
1289,PNB,Punjab National Bank
1290,PNBGILTS,PNB Gilts Limited
1291,PNBHOUSING,PNB Housing Finance Limited
1292,PNC,Pritish Nandy Communications Limited
1293,PNCINFRA,PNC Infratech Limited
1294,POCL,Pondy Oxides & Chemicals Limited
1295,PODDARHOUS,Poddar Housing and Development Limited
1296,PODDARMENT,Poddar Pigments Limited
1297,POKARNA,Pokarna Limited
1298,POLICYBZR,PB Fintech Limited
1299,POLYCAB,Polycab India Limited
1300,POLYMED,Poly Medicure Limited
1301,POLYPLEX,Polyplex Corporation Limited
1302,PONNIERODE,Ponni Sugars (Erode) Limited
1303,POONAWALLA,Poonawalla Fincorp Limited
1304,POWERGRID,Power Grid Corporation of India Limited
1305,POWERINDIA,Hitachi Energy India Limited
1306,POWERMECH,Power Mech Projects Limited
1307,PPAP,PPAP Automotive Limited
1308,PPL,Prakash Pipes Limited
1309,PPLPHARMA,Piramal Pharma Limited
1310,PRAENG,Prajay Engineers Syndicate Limited
1311,PRAJIND,Praj Industries Limited
1312,PRAKASH,Prakash Industries Limited
1313,PRAKASHSTL,Prakash Steelage Limited
1314,PRAXIS,Praxis Home Retail Limited
1315,PRECAM,Precision Camshafts Limited
1316,PRECOT,Precot Limited
1317,PRECWIRE,Precision Wires India Limited
1318,PREMEXPLN,Premier Explosives Limited
1319,PREMIER,Premier Limited
1320,PREMIERPOL,Premier Polyfilm Limited
1321,PRESSMN,Pressman Advertising Limited
1322,PRESTIGE,Prestige Estates Projects Limited
1323,PRICOLLTD,Pricol Limited
1324,PRIMESECU,Prime Securities Limited
1325,PRINCEPIPE,Prince Pipes And Fittings Limited
1326,PRITI,Priti International Limited
1327,PRITIKAUTO,Pritika Auto Industries Limited
1328,PRIVISCL,Privi Speciality Chemicals Limited
1329,PROZONINTU,Prozone Intu Properties Limited
1330,PRSMJOHNSN,Prism Johnson Limited
1331,PRUDENT,Prudent Corporate Advisory Services Limited
1332,PSB,Punjab & Sind Bank
1333,PSPPROJECT,PSP Projects Limited
1334,PTC,PTC India Limited
1335,PTL,PTL Enterprises Limited
1336,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
1337,PURVA,Puravankara Limited
1338,PVP,PVP Ventures Limited
1339,PVRINOX,PVR INOX Limited
1340,QUESS,Quess Corp Limited
1341,QUICKHEAL,Quick Heal Technologies Limited
1342,QUINTEGRA,Quintegra Solutions Limited
1343,RACE,Race Eco Chain Limited
1344,RADAAN,Radaan Mediaworks India Limited
1345,RADHIKAJWE,Radhika Jeweltech Limited
1346,RADIANTCMS,Radiant Cash Management Services Limited
1347,RADICO,Radico Khaitan Limited
1348,RADIOCITY,Music Broadcast Limited
1349,RAILTEL,Railtel Corporation Of India Limited
1350,RAIN,Rain Industries Limited
1351,RAINBOW,Rainbow Childrens Medicare Limited
1352,RAJESHEXPO,Rajesh Exports Limited
1353,RAJMET,Rajnandini Metal Limited
1354,RAJRATAN,Rajratan Global Wire Limited
1355,RAJRILTD,Raj Rayon Industries Limited
1356,RAJSREESUG,Rajshree Sugars & Chemicals Limited
1357,RAJTV,Raj Television Network Limited
1358,RAJVIR,Rajvir Industries Limited
1359,RALLIS,Rallis India Limited
1360,RAMANEWS,Shree Rama Newsprint Limited
1361,RAMAPHO,Rama Phosphates Limited
1362,RAMASTEEL,Rama Steel Tubes Limited
1363,RAMCOCEM,The Ramco Cements Limited
1364,RAMCOIND,Ramco Industries Limited
1365,RAMCOSYS,Ramco Systems Limited
1366,RAMKY,Ramky Infrastructure Limited
1367,RAMRAT,Ram Ratna Wires Limited
1368,RANASUG,Rana Sugars Limited
1369,RANEENGINE,Rane Engine Valve Limited
1370,RANEHOLDIN,Rane Holdings Limited
1371,RATEGAIN,Rategain Travel Technologies Limited
1372,RATNAMANI,Ratnamani Metals & Tubes Limited
1373,RAYMOND,Raymond Limited
1374,RBA,Restaurant Brands Asia Limited
1375,RBL,Rane Brake Lining Limited
1376,RBLBANK,RBL Bank Limited
1377,RCF,Rashtriya Chemicals and Fertilizers Limited
1378,RCOM,Reliance Communications Limited
1379,RECLTD,REC Limited
1380,REDINGTON,Redington Limited
1381,REFEX,Refex Industries Limited
1382,REGENCERAM,Regency Ceramics Limited
1383,RELAXO,Relaxo Footwears Limited
1384,RELCAPITAL,Reliance Capital Limited
1385,RELCHEMQ,Reliance Chemotex Industries Limited
1386,RELIANCE,Reliance Industries Limited
1387,RELIGARE,Religare Enterprises Limited
1388,RELINFRA,Reliance Infrastructure Limited
1389,REMSONSIND,Remsons Industries Limited
1390,RENUKA,Shree Renuka Sugars Limited
1391,REPCOHOME,Repco Home Finance Limited
1392,REPL,Rudrabhishek Enterprises Limited
1393,REPRO,Repro India Limited
1394,RESPONIND,Responsive Industries Limited
1395,REVATHI,Revathi Equipment Limited
1396,RGL,Renaissance Global Limited
1397,RHFL,Reliance Home Finance Limited
1398,RHIM,RHI MAGNESITA INDIA LIMITED
1399,RHL,Robust Hotels Limited
1400,RICOAUTO,Rico Auto Industries Limited
1401,RIIL,Reliance Industrial Infrastructure Limited
1402,RITCO,Ritco Logistics Limited
1403,RITES,RITES Limited
1404,RKDL,Ravi Kumar Distilleries Limited
1405,RKEC,RKEC Projects Limited
1406,RKFORGE,Ramkrishna Forgings Limited
1407,RMCL,Radha Madhav Corporation Limited
1408,RML,Rane (Madras) Limited
1409,RNAVAL,Reliance Naval and Engineering Limited
1410,ROHLTD,Royal Orchid Hotels Limited
1411,ROLEXRINGS,Rolex Rings Limited
1412,ROLLT,Rollatainers Limited
1413,ROLTA,Rolta India Limited
1414,ROML,Raj Oil Mills Limited
1415,ROSSARI,Rossari Biotech Limited
1416,ROSSELLIND,Rossell India Limited
1417,ROTO,Roto Pumps Limited
1418,ROUTE,ROUTE MOBILE LIMITED
1419,RPGLIFE,RPG Life Sciences Limited
1420,RPOWER,Reliance Power Limited
1421,RPPINFRA,R.P.P. Infra Projects Limited
1422,RPPL,Rajshree Polypack Limited
1423,RPSGVENT,RPSG VENTURES LIMITED
1424,RSSOFTWARE,R. S. Software (India) Limited
1425,RSWM,RSWM Limited
1426,RSYSTEMS,R Systems International Limited
1427,RTNINDIA,RattanIndia Enterprises Limited
1428,RTNPOWER,RattanIndia Power Limited
1429,RUBYMILLS,The Ruby Mills Limited
1430,RUCHINFRA,Ruchi Infrastructure Limited
1431,RUCHIRA,Ruchira Papers Limited
1432,RUPA,Rupa & Company Limited
1433,RUSHIL,Rushil Decor Limited
1434,RUSTOMJEE,Keystone Realtors Limited
1435,RVHL,Ravinder Heights Limited
1436,RVNL,Rail Vikas Nigam Limited
1437,S&SPOWER,S&S Power Switchgears Limited
1438,SABEVENTS,Sab Events & Governance Now Media Limited
1439,SABTN,Sri Adhikari Brothers Television Network Limited
1440,SADBHAV,Sadbhav Engineering Limited
1441,SADBHIN,Sadbhav Infrastructure Project Limited
1442,SADHNANIQ,Sadhana Nitrochem Limited
1443,SAFARI,Safari Industries (India) Limited
1444,SAGARDEEP,Sagardeep Alloys Limited
1445,SAGCEM,Sagar Cements Limited
1446,SAH,Sah Polymers Limited
1447,SAHYADRI,Sahyadri Industries Limited
1448,SAIL,Steel Authority of India Limited
1449,SAKAR,Sakar Healthcare Limited
1450,SAKHTISUG,Sakthi Sugars Limited
1451,SAKSOFT,Saksoft Limited
1452,SAKUMA,Sakuma Exports Limited
1453,SALASAR,Salasar Techno Engineering Limited
1454,SALONA,Salona Cotspin Limited
1455,SALSTEEL,S.A.L. Steel Limited
1456,SALZERELEC,Salzer Electronics Limited
1457,SAMBHAAV,Sambhaav Media Limited
1458,SANCO,Sanco Industries Limited
1459,SANDESH,The Sandesh Limited
1460,SANDHAR,Sandhar Technologies Limited
1461,SANGAMIND,Sangam (India) Limited
1462,SANGHIIND,Sanghi Industries Limited
1463,SANGHVIMOV,Sanghvi Movers Limited
1464,SANGINITA,Sanginita Chemicals Limited
1465,SANOFI,Sanofi India Limited
1466,SANSERA,Sansera Engineering Limited
1467,SANWARIA,Sanwaria Consumer Limited
1468,SAPPHIRE,Sapphire Foods India Limited
1469,SARDAEN,Sarda Energy & Minerals Limited
1470,SAREGAMA,Saregama India Limited
1471,SARLAPOLY,Sarla Performance Fibers Limited
1472,SARVESHWAR,Sarveshwar Foods Limited
1473,SASKEN,Sasken Technologies Limited
1474,SASTASUNDR,Sastasundar Ventures Limited
1475,SATIA,Satia Industries Limited
1476,SATIN,Satin Creditcare Network Limited
1477,SATINDLTD,Sat Industries Limited
1478,SBC,SBC Exports Limited
1479,SBCL,Shivalik Bimetal Controls Limited
1480,SBGLP,Suratwwala Business Group Limited
1481,SBICARD,SBI Cards and Payment Services Limited
1482,SBILIFE,SBI Life Insurance Company Limited
1483,SBIN,State Bank of India
1484,SCAPDVR,Stampede Capital Limited
1485,SCHAEFFLER,Schaeffler India Limited
1486,SCHAND,S Chand And Company Limited
1487,SCHNEIDER,Schneider Electric Infrastructure Limited
1488,SCI,Shipping Corporation Of India Limited
1489,SCPL,Sheetal Cool Products Limited
1490,SDBL,Som Distilleries & Breweries Limited
1491,SEAMECLTD,Seamec Limited
1492,SECURCRED,SecUR Credentials Limited
1493,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED
1494,SEJALLTD,Sejal Glass Limited
1495,SELAN,Selan Exploration Technology Limited
1496,SELMC,SEL Manufacturing Company Limited
1497,SEPC,SEPC Limited
1498,SEPOWER,S.E. Power Limited
1499,SEQUENT,Sequent Scientific Limited
1500,SERVOTECH,Servotech Power Systems Limited
1501,SESHAPAPER,Seshasayee Paper and Boards Limited
1502,SETCO,Setco Automotive Limited
1503,SETUINFRA,Setubandhan Infrastructure Limited
1504,SEYAIND,Seya Industries Limited
1505,SFL,Sheela Foam Limited
1506,SGIL,Synergy Green Industries Limited
1507,SGL,STL Global Limited
1508,SHAHALLOYS,Shah Alloys Limited
1509,SHAILY,Shaily Engineering Plastics Limited
1510,SHAKTIPUMP,Shakti Pumps (India) Limited
1511,SHALBY,Shalby Limited
1512,SHALPAINTS,Shalimar Paints Limited
1513,SHANKARA,Shankara Building Products Limited
1514,SHANTI,Shanti Overseas (India) Limited
1515,SHANTIGEAR,Shanthi Gears Limited
1516,SHARDACROP,Sharda Cropchem Limited
1517,SHARDAMOTR,Sharda Motor Industries Limited
1518,SHAREINDIA,Share India Securities Limited
1519,SHEMAROO,Shemaroo Entertainment Limited
1520,SHILPAMED,Shilpa Medicare Limited
1521,SHIVALIK,Shivalik Rasayan Limited
1522,SHIVAMAUTO,Shivam Autotech Limited
1523,SHIVAMILLS,Shiva Mills Limited
1524,SHIVATEX,Shiva Texyarn Limited
1525,SHK,S H Kelkar and Company Limited
1526,SHOPERSTOP,Shoppers Stop Limited
1527,SHRADHA,Shradha Infraprojects Limited
1528,SHREDIGCEM,Shree Digvijay Cement Co.Ltd
1529,SHREECEM,SHREE CEMENT LIMITED
1530,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
1531,SHREERAMA,Shree Rama Multi-Tech Limited
1532,SHRENIK,Shrenik Limited
1533,SHREYANIND,Shreyans Industries Limited
1534,SHREYAS,Shreyas Shipping & Logistics Limited
1535,SHRIPISTON,Shriram Pistons & Rings Limited
1536,SHRIRAMFIN,Shriram Finance Limited
1537,SHRIRAMPPS,Shriram Properties Limited
1538,SHYAMCENT,Shyam Century Ferrous Limited
1539,SHYAMMETL,Shyam Metalics and Energy Limited
1540,SHYAMTEL,Shyam Telecom Limited
1541,SIEMENS,Siemens Limited
1542,SIGACHI,Sigachi Industries Limited
1543,SIGIND,Signet Industries Limited
1544,SIKKO,Sikko Industries Limited
1545,SIL,Standard Industries Limited
1546,SILGO,Silgo Retail Limited
1547,SILINV,SIL Investments Limited
1548,SILLYMONKS,Silly Monks Entertainment Limited
1549,SILVERTUC,Silver Touch Technologies Limited
1550,SIMBHALS,Simbhaoli Sugars Limited
1551,SIMPLEXINF,Simplex Infrastructures Limited
1552,SINTERCOM,Sintercom India Limited
1553,SIRCA,Sirca Paints India Limited
1554,SIS,SIS LIMITED
1555,SITINET,Siti Networks Limited
1556,SIYSIL,Siyaram Silk Mills Limited
1557,SJS,S.J.S. Enterprises Limited
1558,SJVN,SJVN Limited
1559,SKFINDIA,SKF India Limited
1560,SKIL,SKIL Infrastructure Limited
1561,SKIPPER,Skipper Limited
1562,SKMEGGPROD,SKM Egg Products Export (India) Limited
1563,SKYGOLD,Sky Gold Limited
1564,SMARTLINK,Smartlink Holdings Limited
1565,SMCGLOBAL,SMC Global Securities Limited
1566,SMLISUZU,SML Isuzu Limited
1567,SMLT,Sarthak Metals Limited
1568,SMSLIFE,SMS Lifesciences India Limited
1569,SMSPHARMA,SMS Pharmaceuticals Limited
1570,SNOWMAN,Snowman Logistics Limited
1571,SOBHA,Sobha Limited
1572,SOFTTECH,Softtech Engineers Limited
1573,SOLARA,Solara Active Pharma Sciences Limited
1574,SOLARINDS,Solar Industries India Limited
1575,SOMANYCERA,Somany Ceramics Limited
1576,SOMATEX,Soma Textiles & Industries Limited
1577,SOMICONVEY,Somi Conveyor Beltings Limited
1578,SONACOMS,Sona BLW Precision Forgings Limited
1579,SONAMCLOCK,Sonam Clock Limited
1580,SONATSOFTW,Sonata Software Limited
1581,SOTL,Savita Oil Technologies Limited
1582,SOUTHBANK,The South Indian Bank Limited
1583,SOUTHWEST,South West Pinnacle Exploration Limited
1584,SPAL,S. P. Apparels Limited
1585,SPANDANA,Spandana Sphoorty Financial Limited
1586,SPARC,Sun Pharma Advanced Research Company Limited
1587,SPCENET,Spacenet Enterprises India Limited
1588,SPECIALITY,Speciality Restaurants Limited
1589,SPENCERS,Spencer's Retail Limited
1590,SPENTEX,Spentex Industries Limited
1591,SPIC,Southern Petrochemicals Industries Corporation  Limited
1592,SPLIL,SPL Industries Limited
1593,SPLPETRO,Supreme Petrochem Limited
1594,SPMLINFRA,SPML Infra Limited
1595,SPORTKING,Sportking India Limited
1596,SPTL,Sintex Plastics Technology Limited
1597,SPYL,Shekhawati Poly-Yarn Limited
1598,SREEL,Sreeleathers Limited
1599,SREINFRA,SREI Infrastructure Finance Limited
1600,SRF,SRF Limited
1601,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
1602,SRPL,Shree Ram Proteins Limited
1603,SSWL,Steel Strips Wheels Limited
1604,STAMPEDE,Stampede Capital Limited
1605,STAR,Strides Pharma Science Limited
1606,STARCEMENT,Star Cement Limited
1607,STARHEALTH,Star Health and Allied Insurance Company Limited
1608,STARPAPER,Star Paper Mills Limited
1609,STARTECK,Starteck Finance Limited
1610,STCINDIA,The State Trading Corporation of India Limited
1611,STEELCAS,Steelcast Limited
1612,STEELCITY,Steel City Securities Limited
1613,STEELXIND,STEEL EXCHANGE INDIA LIMITED
1614,STEL,Stel Holdings Limited
1615,STERTOOLS,Sterling Tools Limited
1616,STLTECH,Sterlite Technologies Limited
1617,STOVEKRAFT,Stove Kraft Limited
1618,STYLAMIND,Stylam Industries Limited
1619,STYRENIX,Styrenix Performance Materials Limited
1620,SUBEXLTD,Subex Limited
1621,SUBROS,Subros Limited
1622,SUDARSCHEM,Sudarshan Chemical Industries Limited
1623,SUKHJITS,Sukhjit Starch & Chemicals Limited
1624,SULA,Sula Vineyards Limited
1625,SUMEETINDS,Sumeet Industries Limited
1626,SUMICHEM,Sumitomo Chemical India Limited
1627,SUMIT,Sumit Woods Limited
1628,SUMMITSEC,Summit Securities Limited
1629,SUNCLAYLTD,Sundaram Clayton Limited
1630,SUNDARAM,Sundaram Multi Pap Limited
1631,SUNDARMFIN,Sundaram Finance Limited
1632,SUNDARMHLD,Sundaram Finance Holdings Limited
1633,SUNDRMBRAK,Sundaram Brake Linings Limited
1634,SUNDRMFAST,Sundram Fasteners Limited
1635,SUNFLAG,Sunflag Iron And Steel Company Limited
1636,SUNPHARMA,Sun Pharmaceutical Industries Limited
1637,SUNTECK,Sunteck Realty Limited
1638,SUNTV,Sun TV Network Limited
1639,SUPERHOUSE,Superhouse Limited
1640,SUPERSPIN,Super Spinning Mills Limited
1641,SUPRAJIT,Suprajit Engineering Limited
1642,SUPREMEENG,Supreme Engineering Limited
1643,SUPREMEIND,Supreme Industries Limited
1644,SUPREMEINF,Supreme Infrastructure India Limited
1645,SUPRIYA,Supriya Lifescience Limited
1646,SURANASOL,Surana Solar Limited
1647,SURANAT&P,Surana Telecom and Power Limited
1648,SURYALAXMI,Suryalakshmi Cotton Mills Limited
1649,SURYAROSNI,Surya Roshni Limited
1650,SURYODAY,Suryoday Small Finance Bank Limited
1651,SUTLEJTEX,Sutlej Textiles and Industries Limited
1652,SUULD,Suumaya Industries Limited
1653,SUVEN,Suven Life Sciences Limited
1654,SUVENPHAR,Suven Pharmaceuticals Limited
1655,SUVIDHAA,Suvidhaa Infoserve Limited
1656,SUZLON,Suzlon Energy Limited
1657,SVLL,Shree Vasu Logistics Limited
1658,SVPGLOB,SVP GLOBAL TEXTILES LIMITED
1659,SWANENERGY,Swan Energy Limited
1660,SWARAJENG,Swaraj Engines Limited
1661,SWELECTES,Swelect Energy Systems Limited
1662,SWSOLAR,Sterling and Wilson Renewable Energy Limited
1663,SYMPHONY,Symphony Limited
1664,SYNCOMF,Syncom Formulations (India) Limited
1665,SYNGENE,Syngene International Limited
1666,SYRMA,Syrma SGS Technology Limited
1667,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
1668,TAJGVK,Taj GVK Hotels & Resorts Limited
1669,TAKE,Take Solutions Limited
1670,TALBROAUTO,Talbros Automotive Components Limited
1671,TANLA,Tanla Platforms Limited
1672,TANTIACONS,Tantia Constructions Limited
1673,TARAPUR,Tarapur Transformers Limited
1674,TARC,TARC Limited
1675,TARMAT,Tarmat Limited
1676,TARSONS,Tarsons Products Limited
1677,TASTYBITE,Tasty Bite Eatables Limited
1678,TATACHEM,Tata Chemicals Limited
1679,TATACOFFEE,Tata Coffee Limited
1680,TATACOMM,Tata Communications Limited
1681,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
1682,TATAELXSI,Tata Elxsi Limited
1683,TATAINVEST,Tata Investment Corporation Limited
1684,TATAMETALI,Tata Metaliks Limited
1685,TATAMOTORS,Tata Motors Limited
1686,TATAMTRDVR,Tata Motors Limited
1687,TATAPOWER,Tata Power Company Limited
1688,TATASTEEL,Tata Steel Limited
1689,TATASTLLP,Tata Steel Long Products Limited
1690,TATVA,Tatva Chintan Pharma Chem Limited
1691,TBZ,Tribhovandas Bhimji Zaveri Limited
1692,TCI,Transport Corporation of India Limited
1693,TCIEXP,TCI Express Limited
1694,TCIFINANCE,TCI Finance Limited
1695,TCNSBRANDS,TCNS Clothing Co. Limited
1696,TCPLPACK,TCPL Packaging Limited
1697,TCS,Tata Consultancy Services Limited
1698,TDPOWERSYS,TD Power Systems Limited
1699,TEAMLEASE,Teamlease Services Limited
1700,TECHIN,Techindia Nirman Limited
1701,TECHM,Tech Mahindra Limited
1702,TECHNOE,Techno Electric & Engineering Company Limited
1703,TECILCHEM,TECIL Chemicals and Hydro Power Limited
1704,TEGA,Tega Industries Limited
1705,TEJASNET,Tejas Networks Limited
1706,TEMBO,Tembo Global Industries Limited
1707,TERASOFT,Tera Software Limited
1708,TEXINFRA,Texmaco Infrastructure & Holdings Limited
1709,TEXMOPIPES,Texmo Pipes and Products Limited
1710,TEXRAIL,Texmaco Rail & Engineering Limited
1711,TFCILTD,Tourism Finance Corporation of India Limited
1712,TFL,Transwarranty Finance Limited
1713,TGBHOTELS,TGB Banquets And Hotels Limited
1714,THANGAMAYL,Thangamayil Jewellery Limited
1715,THEINVEST,The Investment Trust Of India Limited
1716,THEMISMED,Themis Medicare Limited
1717,THERMAX,Thermax Limited
1718,THOMASCOOK,Thomas Cook  (India)  Limited
1719,THOMASCOTT,Thomas Scott (India) Limited
1720,THYROCARE,Thyrocare Technologies Limited
1721,TI,Tilaknagar Industries Limited
1722,TIDEWATER,Tide Water Oil Company (India) Limited
1723,TIIL,Technocraft Industries (India) Limited
1724,TIINDIA,Tube Investments of India Limited
1725,TIJARIA,Tijaria Polypipes Limited
1726,TIL,TIL Limited
1727,TIMESGTY,Times Guaranty Limited
1728,TIMETECHNO,Time Technoplast Limited
1729,TIMKEN,Timken India Limited
1730,TINPLATE,The Tinplate Company of India Limited
1731,TIPSFILMS,Tips Films Limited
1732,TIPSINDLTD,TIPS Industries Limited
1733,TIRUMALCHM,Thirumalai Chemicals Limited
1734,TIRUPATIFL,Tirupati Forge Limited
1735,TITAN,Titan Company Limited
1736,TMB,Tamilnad Mercantile Bank Limited
1737,TNPETRO,Tamilnadu PetroProducts Limited
1738,TNPL,Tamil Nadu Newsprint & Papers Limited
1739,TNTELE,Tamilnadu Telecommunication Limited
1740,TOKYOPLAST,Tokyo Plast International Limited
1741,TORNTPHARM,Torrent Pharmaceuticals Limited
1742,TORNTPOWER,Torrent Power Limited
1743,TOTAL,Total Transport Systems Limited
1744,TOUCHWOOD,Touchwood Entertainment Limited
1745,TPLPLASTEH,TPL Plastech Limited
1746,TRACXN,Tracxn Technologies Limited
1747,TREEHOUSE,Tree House Education & Accessories Limited
1748,TREJHARA,TREJHARA SOLUTIONS LIMITED
1749,TRENT,Trent Limited
1750,TRF,TRF Limited
1751,TRIDENT,Trident Limited
1752,TRIGYN,Trigyn Technologies Limited
1753,TRIL,Transformers And Rectifiers (India) Limited
1754,TRITURBINE,Triveni Turbine Limited
1755,TRIVENI,Triveni Engineering & Industries Limited
1756,TTKHLTCARE,TTK Healthcare Limited
1757,TTKPRESTIG,TTK Prestige Limited
1758,TTL,T T Limited
1759,TTML,Tata Teleservices (Maharashtra) Limited
1760,TV18BRDCST,TV18 Broadcast Limited
1761,TVSELECT,TVS Electronics Limited
1762,TVSMOTOR,TVS Motor Company Limited
1763,TVSSRICHAK,TVS Srichakra Limited
1764,TVTODAY,TV Today Network Limited
1765,TVVISION,TV Vision Limited
1766,TWL,Titagarh Wagons Limited
1767,UBL,United Breweries Limited
1768,UCALFUEL,Ucal Fuel Systems Limited
1769,UCOBANK,UCO Bank
1770,UDAICEMENT,Udaipur Cement Works Limited
1771,UFLEX,UFLEX Limited
1772,UFO,UFO Moviez India Limited
1773,UGARSUGAR,The Ugar Sugar Works Limited
1774,UGROCAP,Ugro Capital Limited
1775,UJAAS,Ujaas Energy Limited
1776,UJJIVAN,Ujjivan Financial Services Limited
1777,UJJIVANSFB,Ujjivan Small Finance Bank Limited
1778,ULTRACEMCO,UltraTech Cement Limited
1779,UMAEXPORTS,Uma Exports Limited
1780,UMANGDAIRY,Umang Dairies Limited
1781,UMESLTD,Usha Martin Education & Solutions Limited
1782,UNICHEMLAB,Unichem Laboratories Limited
1783,UNIDT,United Drilling Tools Limited
1784,UNIENTER,Uniphos Enterprises Limited
1785,UNIINFO,Uniinfo Telecom Services Limited
1786,UNIONBANK,Union Bank of India
1787,UNIPARTS,Uniparts India Limited
1788,UNITECH,Unitech Limited
1789,UNITEDPOLY,United Polyfab Gujarat Limited
1790,UNITEDTEA,The United Nilgiri Tea Estates Company Limited
1791,UNIVAFOODS,Univa Foods Limited
1792,UNIVASTU,Univastu India Limited
1793,UNIVCABLES,Universal Cables Limited
1794,UNIVPHOTO,Universus Photo Imagings Limited
1795,UNOMINDA,UNO Minda Limited
1796,UPL,UPL Limited
1797,URJA,Urja Global Limited
1798,USHAMART,Usha Martin Limited
1799,USK,Udayshivakumar Infra Limited
1800,UTIAMC,UTI Asset Management Company Limited
1801,UTTAMSUGAR,Uttam Sugar Mills Limited
1802,V2RETAIL,V2 Retail Limited
1803,VADILALIND,Vadilal Industries Limited
1804,VAIBHAVGBL,Vaibhav Global Limited
1805,VAISHALI,Vaishali Pharma Limited
1806,VAKRANGEE,Vakrangee Limited
1807,VALIANTORG,Valiant Organics Limited
1808,VARDHACRLC,Vardhman Acrylics Limited
1809,VARDMNPOLY,Vardhman Polytex Limited
1810,VARROC,Varroc Engineering Limited
1811,VASCONEQ,Vascon Engineers Limited
1812,VASWANI,Vaswani Industries Limited
1813,VBL,Varun Beverages Limited
1814,VCL,Vaxtex Cotfab Limited
1815,VEDL,Vedanta Limited
1816,VENKEYS,Venky's (India) Limited
1817,VENUSPIPES,Venus Pipes & Tubes Limited
1818,VENUSREM,Venus Remedies Limited
1819,VERANDA,Veranda Learning Solutions Limited
1820,VERTOZ,Vertoz Advertising Limited
1821,VESUVIUS,Vesuvius India Limited
1822,VETO,Veto Switchgears And Cables Limited
1823,VGUARD,V-Guard Industries Limited
1824,VHL,Vardhman Holdings Limited
1825,VICEROY,Viceroy Hotels Limited
1826,VIDHIING,Vidhi Specialty Food Ingredients Limited
1827,VIJAYA,Vijaya Diagnostic Centre Limited
1828,VIJIFIN,Viji Finance Limited
1829,VIKASECO,Vikas EcoTech Limited
1830,VIKASLIFE,Vikas Lifecare Limited
1831,VIMTALABS,Vimta Labs Limited
1832,VINATIORGA,Vinati Organics Limited
1833,VINDHYATEL,Vindhya Telelinks Limited
1834,VINEETLAB,Vineet Laboratories Limited
1835,VINNY,Vinny Overseas Limited
1836,VINYLINDIA,Vinyl Chemicals (India) Limited
1837,VIPCLOTHNG,VIP Clothing Limited
1838,VIPIND,VIP Industries Limited
1839,VIPULLTD,Vipul Limited
1840,VIRINCHI,Virinchi Limited
1841,VISAKAIND,Visaka Industries Limited
1842,VISASTEEL,Visa Steel Limited
1843,VISESHINFO,Visesh Infotecnics Limited
1844,VISHAL,Vishal Fabrics Limited
1845,VISHNU,Vishnu Chemicals Limited
1846,VISHWARAJ,Vishwaraj Sugar Industries Limited
1847,VIVIDHA,Visagar Polytex Limited
1848,VIVIMEDLAB,Vivimed Labs Limited
1849,VLSFINANCE,VLS Finance Limited
1850,VMART,V-Mart Retail Limited
1851,VOLTAMP,Voltamp Transformers Limited
